strain	date	date_submitted	clade_membership	region	host	country	recency	lineage	author	accession	dinuc_context_fraction	GA_CT_fraction
MPXV_USA_2022_UT001	2022-05-01	2022-06-03	IIb	North America	Homo sapiens	USA	Older	B.1	Gigante,C.M., Atkinson,A., Seabolt,M.H., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Murray,J., Li,Y.	ON676705	1.00	1.00
Monkeypox/PT0398/2022	2022-07-15	2022-09-30	IIb	Europe	Homo sapiens	Portugal	Older	B.1	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	OP555494	1.00	1.00
MPX/PT0109/2022	2022-07-18	2022-08-17	IIb	Europe	Homo sapiens	Portugal	Older	B.1	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	OP245343	1.00	1.00
Slovenia-MPXV-43-2022	2022-08-01	2022-10-11	IIb	Europe	Homo sapiens	Slovenia	Older	B.1	Zakotnik,S., Vlaj,D., Suljic,A., Zorec,T.M., Korva,M., Poljak,M., Avsic Zupanc,T.	OP605584	1.00	0.50
MPXV/Germany/2022/RKI549	2022-06-01	2022-10-25	IIb	Europe	Homo sapiens	Germany	Older	B.1	Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	OP715829	1.00	0.50
PrEV_case_4	2022-10-09	2022-10-27	IIb	Europe	Homo sapiens	Belgium	Older	B.1	Berens-Riha,N., De Block,T., Rutgers,J., Van Gestel,L., Hens,M., Kenyon,C., Soentjens,P., Van Griensven,J., Brosius,I., Arien,K., Van Esbroeck,M., Rezende,A.M., Vercauteren,K.	OP727823	1.00	1.00
MpxV/human/CAN/UN-NML-3272/2022	2022-05-31	2022-06-30	IIb	North America	Homo sapiens	Canada	Older	B.1	Duggan,A., Hole,D., Knox,N., Yadav,C., Haidl,E., Chapel,M., Domselaar,G.V., Fernando,L., Graham,M., Antonation,K., Audet,J., Hagan,M., Safronetz,D., Leung,A., Peters,G., Go,A., Laminman,V., Kaplen,B., Jolly,G., Charest,H., Levade,I., Fafard,J.	ON880536	0.50	1.00
MPXV-USA-IL-IDPH-066	2022-06-28	2022-09-27	IIb	North America	Homo sapiens	USA	Older	B.1	Gagnon,K.T.	OP536727		
hMPXV-IHU00017	2022-07-22	2022-09-07	IIb	Europe	Homo sapiens	France	Older	B.1	Colson,P.	OP382494		
RNA	2022-08-26	2022-09-15	IIb	Europe	Homo sapiens	Slovakia	Older	B.1		OX336004		1.00
Monkeypox/PT0139/2022	2022-07-11	2022-08-29	IIb	Europe	Homo sapiens	Portugal	Older	B.1	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	OP324460	1.00	1.00
hMPXV-IHU00014	2022-07-22	2022-09-07	IIb	Europe	Homo sapiens	France	Older	B.1	Colson,P.	OP382491	1.00	0.75
Monkeypox/PT0332/2022	2022-05-27	2022-09-12	IIb	Europe	Homo sapiens	Portugal	Older	B.1	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	OP414363		
MPX_o3VuSh_9000348	2022-08-01	2022-09-12	IIb	Europe	Homo sapiens	United Kingdom	Older	B.1	Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.	OP415275	0.50	1.00
Monkeypox/PT0449/2022	2022-08-03	2022-09-30	IIb	Europe	Homo sapiens	Portugal	Older	B.1	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	OP555530		
Monkeypox/PT0315/2022	2022-06-03	2022-09-12	IIb	Europe	Homo sapiens	Portugal	Older	B.1	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	OP414348	1.00	1.00
hMPXV-IHU00013	2022-07-20	2022-09-07	IIb	Europe	Homo sapiens	France	Older	B.1	Colson,P.	OP382490		
MpxV/human/CAN/UN-NML-3864/2022	2022-06-22	2022-07-26	IIb	North America	Homo sapiens	Canada	Older	B.1	Duggan,A., Hole,D., Yadav,C., Knox,N., Tyler,A., Haidl,E., Chapel,M., Domselaar,G.V., Graham,M., Audet,J., Fernando,L., Hagan,M., Safronetz,D., Leung,A., Peters,G., Go,A., Laminman,V., Kaplen,B., Antonation,K., Jolly,G., Griffiths,E., Charest,H., Levade,I., Fafard,J.	OP062230	1.00	1.00
MpxV/human/CAN/UN-NML-3080/2022	2022-05-26	2022-06-30	IIb	North America	Homo sapiens	Canada	Older	B.1	Duggan,A., Hole,D., Knox,N., Yadav,C., Haidl,E., Chapel,M., Domselaar,G.V., Fernando,L., Graham,M., Antonation,K., Audet,J., Hagan,M., Safronetz,D., Leung,A., Peters,G., Go,A., Laminman,V., Kaplen,B., Jolly,G., Charest,H., Levade,I., Fafard,J.	ON880524		
MpxV/human/CAN/UN-NML-3348/2022	2022-05-31	2022-06-30	IIb	North America	Homo sapiens	Canada	Older	B.1	Duggan,A., Hole,D., Knox,N., Yadav,C., Haidl,E., Chapel,M., Domselaar,G.V., Fernando,L., Graham,M., Antonation,K., Audet,J., Hagan,M., Safronetz,D., Leung,A., Peters,G., Go,A., Laminman,V., Kaplen,B., Jolly,G., Charest,H., Levade,I., Fafard,J.	ON880542		
MPXV_UK_2022_9000142	2022-06-15	2022-08-11	IIb	Europe	Homo sapiens	United Kingdom	Older	B.1	Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.	OP205105	1.00	1.00
Monkeypox/PT0047/2022	2022-06-02	2022-06-24	IIb	Europe	Homo sapiens	Portugal	Older	B.1	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	ON843177		
Monkeypox/PT0589/2022	2022-08-24	2022-09-30	IIb	Europe	Homo sapiens	Portugal	Older	B.1	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	OP555657	1.00	1.00
MPXV/Germany/2022/RKI07	2022-05-01	2022-06-06	IIb	Europe	Homo sapiens	Germany	Older	B.1	Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	ON682269		
MPX_k9tr7U_9000256	2022-08-01	2022-09-12	IIb	Europe	Homo sapiens	United Kingdom	Older	B.1	Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.	OP415226		
MPXV/Germany/2022/RKI06	2022-05-01	2022-06-06	IIb	Europe	Homo sapiens	Germany	Older	B.1	Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	ON682270		
MPXV_UK_2022_9000069	2022-06-11	2022-08-11	IIb	Europe	Homo sapiens	United Kingdom	Older	B.1	Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.	OP205075		
MpxV/human/USA/WA-UW-099881/2022	2022-09-30	2022-10-31	IIb	North America	Homo sapiens	USA	Older	B.1	Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L.	OP743969	1.00	1.00
MPX/Human/USA/CA-LACPHL-MA00256/2022	2022-07-13	2022-10-27	IIb	North America	Homo sapiens	USA	Older	B.1	Hemarajata,P., Green,N.M., Garrigues,J.M.	OP722515		
hMPXV-CH-38212023/2022	2022-05-30	2022-09-13	IIb	Europe	Homo sapiens	Switzerland	Older	B.1	Laubscher,F., Chudzinsk,V., Cordey,S., Schibler,M., Kaiser,L., Renzoni,A.	OP422245		
INMI-Pt1	2022-05-18	2022-05-26	IIb	Europe	Homo sapiens	Italy	Older	B.1	Gruber,C.E.M., Rueca,M., Gramigna,G., Carletti,F., Butera,O., Fabeni,L., Specchiarello,E., Meschi,S., Colavita,F., Minosse,C., Francalancia,M., Lapa,D., Garbuglia,A.R., Giombini,E.	ON614676		
Monkeypox/PT0576/2022	2022-09-05	2022-09-30	IIb	Europe	Homo sapiens	Portugal	Older	B.1	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	OP555647	1.00	0.86
MPX_96X1Vd_9000216	2022-03-28	2022-09-12	IIb	Europe	Homo sapiens	United Kingdom	Older	B.1	Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.	OP415194		
MPXV/Human/USA/CA-LACPHL-MA00350/2022	2022-10-11	2022-11-30	IIb	North America	Homo sapiens	USA	One month ago	B.1	Hemarajata,P., Green,N.M., Garrigues,J.	OP920688	1.00	0.80
MpxV/human/USA/WA-UW-080994/2022	2022-08-01	2022-10-13	IIb	North America	Homo sapiens	USA	Older	B.1	Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L.	OP628440	1.00	1.00
MPXV/Human/USA/CA-LACPHL-MA00298/2022	2022-09-30	2022-11-24	IIb	North America	Homo sapiens	USA	Older	B.1	Hemarajata,P., Green,N.M., Garrigues,J.M.	OP890532	1.00	1.00
MPXV/Human/USA/UT-UPHL-82200022/2022	2022-05-21	2022-10-31	IIb	North America	Homo sapiens	USA	Older	B.1	Iverson,T., Oakeson,K.F., Young,E.L., Wagner,J., Hergert,J.	OP743357		
INMI-Pt3	2022-05-19	2022-06-16	IIb	Europe	Homo sapiens	Italy	Older	B.1	Rueca,M., Giombini,E., Gruber,C.E.M., Gramigna,G., Mazzotta,V., Carletti,F., Lapa,D., Pittalis,S., Puro,V., Fabeni,L., Butera,O., Colavita,F., Meschi,S., Matusali,G., Specchiarello,E., Vairo,F., Vaia,F., Nicastri,E., Antinori,A., Girardi,E., Maggi,F.	ON780016		
ANT-LDSP-ANT-MPX-24387-C	2022-09-06	2022-10-17	IIb	South America	Homo sapiens	Colombia	Older	B.1	Betancur,I.I.B., Velarde-Hoyos,C.-A.C.V., Gomez,R.R.G., Mercado-Reyes,M.M.R.	OP642390	1.00	1.00
Monkeypox/PT0217/2022	2022-06-23	2022-08-29	IIb	Europe	Homo sapiens	Portugal	Older	B.1	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	OP324527	1.00	1.00
MpxV/human/CAN/UN-NML-3909/2022	2022-06-27	2022-07-26	IIb	North America	Homo sapiens	Canada	Older	B.1	Duggan,A., Hole,D., Yadav,C., Knox,N., Tyler,A., Haidl,E., Chapel,M., Domselaar,G.V., Graham,M., Audet,J., Fernando,L., Hagan,M., Safronetz,D., Leung,A., Peters,G., Go,A., Laminman,V., Kaplen,B., Antonation,K., Jolly,G., Griffiths,E., Charest,H., Levade,I., Fafard,J.	OP062232	1.00	1.00
MpxV/Spain/MD-HGUGM-66649483/2022	2022-05-27	2022-06-13	IIb	Europe	Homo sapiens	Spain	Older	B.1	Buenestado-Serrano,S., Palomino-Cabrera,R., Penas-Utrilla,D., Rodriguez-Grande,J., Sola Campoy,P., Perez-Lago,L., Rodriguez-Grande,C., Herranz Martin,M., Suarez,J., Catalan,P., Munoz,P., Garcia de Viedma,D.	ON745225	1.00	1.00
Slovenia-MPXV-16-2022	2022-07-01	2022-10-11	IIb	Europe	Homo sapiens	Slovenia	Older	B.1	Zakotnik,S., Vlaj,D., Suljic,A., Zorec,T.M., Korva,M., Poljak,M., Avsic Zupanc,T.	OP605558		
MPXV/Human/USA/CA-CDPH-MPX000019/2022	2022-07-08	2022-10-05	IIb	North America	Homo sapiens	USA	Older	B.1	Probert,W., Espinosa,A., Kath,C., Haw,M., O'Neil,R., Bell,J., Hacker,J.	OP587248		
Monkeypox/PT0148/2022	2022-07-07	2022-08-29	IIb	Europe	Homo sapiens	Portugal	Older	B.1	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	OP324465	1.00	1.00
MN-MDH-MPXV_0006	2022-06-29	2022-10-07	IIb	North America	Homo sapiens	USA	Older	B.1	Plumb,M.R.	OP597780	1.00	1.00
MPXV_UK_2022_2	2022-05-15	2022-05-27	IIb	Europe	Homo sapiens	United Kingdom	Older	B.1	Groves,N., Osman,K.L., Lewandowski,K.S., Pullan,S.T., Carter,D.P., Crook,J.M., Myers,R., Vipond,R., Chand,M.	ON619836	1.00	1.00
MPXV_USA_2022_UT002	2022-05-01	2022-06-03	IIb	North America	Homo sapiens	USA	Older	B.1	Gigante,C.M., Atkinson,A., Seabolt,M.H., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Murray,J., Li,Y.	ON676706		
hMPXV-IHU00010	2022-07-18	2022-09-07	IIb	Europe	Homo sapiens	France	Older	B.1	Colson,P.	OP382487		
MPXV/Human/USA/CA-CDPH-MPX000007/2022	2022-06-21	2022-10-04	IIb	North America	Homo sapiens	USA	Older	B.1	Probert,W., Espinosa,A., Kath,C., Haw,M., O'Neil,R., Bell,J., Hacker,J.	OP580155	1.00	1.00
Monkeypox/PT0588/2022	2022-08-16	2022-09-30	IIb	Europe	Homo sapiens	Portugal	Older	B.1	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	OP555656	1.00	1.00
MpxV/human/CAN/UN-NML-2853/2022	2022-05-19	2022-06-21	IIb	North America	Homo sapiens	Canada	Older	B.1	Knox,N., Duggan,A., Yadav,C., Hole,D., Haidl,E., Chapel,M., Jolly,G., Domselaar,G.V., Antonation,K., Leung,A., Fernando,L., Audet,J., Hagan,M., Graham,M., Griffiths,E., Safronetz,D., Charest,H., Levade,I., Fafard,J.	ON803425		
MPXV_USA_2022_MN0005	2022-06-01	2022-09-16	IIb	North America	Homo sapiens	USA	Older	B.1	Gigante,C.M., Wang,X., Zhao,H., Batra,D., Hetrick,E.E., Howard,D.T., Kovar,L., Seabolt,M.H., Weigand,M.R., Burroughs,M., Lee,J., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Ostadkar,R., Li,Y.	OP451004		
MPXV/Germany/2022/RKI593	2022-10-01	2022-11-16	IIb	Europe	Homo sapiens	Germany	Older	B.1	Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	OP837355		
MpxV/human/CAN/UN-NML-3141/2022	2022-05-27	2022-06-30	IIb	North America	Homo sapiens	Canada	Older	B.1	Duggan,A., Hole,D., Knox,N., Yadav,C., Haidl,E., Chapel,M., Domselaar,G.V., Fernando,L., Graham,M., Antonation,K., Audet,J., Hagan,M., Safronetz,D., Leung,A., Peters,G., Go,A., Laminman,V., Kaplen,B., Jolly,G., Charest,H., Levade,I., Fafard,J.	ON880527		
MPX/PT0049/2022	2022-08-01	2022-08-17	IIb	Europe	Homo sapiens	Portugal	Older	B.1	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	OP245306	1.00	0.50
Slovenia-MPXV-41-2022	2022-08-01	2022-10-11	IIb	Europe	Homo sapiens	Slovenia	Older	B.1	Zakotnik,S., Vlaj,D., Suljic,A., Zorec,T.M., Korva,M., Poljak,M., Avsic Zupanc,T.	OP605582	1.00	1.00
Slovenia-MPXV-27-2022	2022-07-01	2022-10-11	IIb	Europe	Homo sapiens	Slovenia	Older	B.1	Zakotnik,S., Vlaj,D., Suljic,A., Zorec,T.M., Korva,M., Poljak,M., Avsic Zupanc,T.	OP605569	0.50	1.00
MPXV-CH-38156923/2022	2022-05-24	2022-05-27	IIb	Europe	Homo sapiens	Switzerland	Older	B.1	Laubscher,F., Schibler,M., Kaiser,L., Renzoni,A.	ON622720		
MPXV/Human/USA/CA-CDPH-MPX000021/2022	2022-07-07	2022-10-05	IIb	North America	Homo sapiens	USA	Older	B.1	Probert,W., Espinosa,A., Kath,C., Haw,M., O'Neil,R., Bell,J., Hacker,J.	OP587250		
MPX_1bN2W6_9000324	2022-08-01	2022-09-12	IIb	Europe	Homo sapiens	United Kingdom	Older	B.1	Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.	OP415263		1.00
MPXV_USA_2022_CO0002	2022-05-01	2022-08-10	IIb	North America	Homo sapiens	USA	Older	B.1	Gigante,C.M., Steidley,B., Seabolt,M.H., Zhao,H., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Davizon,E.S., Li,Y.	OP185715	1.00	1.00
MpxV/human/CAN/UN-NML-3344/2022	2022-06-01	2022-06-30	IIb	North America	Homo sapiens	Canada	Older	B.1	Duggan,A., Hole,D., Knox,N., Yadav,C., Haidl,E., Chapel,M., Domselaar,G.V., Fernando,L., Graham,M., Antonation,K., Audet,J., Hagan,M., Safronetz,D., Leung,A., Peters,G., Go,A., Laminman,V., Kaplen,B., Jolly,G., Charest,H., Levade,I., Fafard,J.	ON880541	1.00	1.00
Monkeypox/PT0025/2022	2022-05-19	2022-06-01	IIb	Europe	Homo sapiens	Portugal	Older	B.1	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J.D., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Carvalho,I.L., Pelerito,A., Cordeiro,R., Gomes,J.P.	ON649712		
INMI-Pt2	2022-05-19	2022-06-13	IIb	Europe	Homo sapiens	Italy	Older	B.1	Giombini,E., Gruber,C.E.M., Rueca,M., Gramigna,G., VIta,S., Carletti,F., D'Abramo,A., Lapa,D., Puro,V., Fabeni,L., Butera,O., Colavita,F., Meschi,S., Matusali,G., Specchiarello,E., Vairo,F., Vaia,F., Garbuglia,A.R., Nicastri,E., Antinori,A., GIrardi,E., Maggi,F.	ON745215		
Monkeypox/PT0342/2022	2022-05-26	2022-09-12	IIb	Europe	Homo sapiens	Portugal	Older	B.1	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	OP414371	1.00	1.00
MPXV/Germany/2022/RKI03	2022-05-01	2022-06-06	IIb	Europe	Homo sapiens	Germany	Older	B.1	Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Jessen,H., Schaade,L., Michel,A.	ON682263		
2022/2 SLO	2022-05-24	2022-05-30	IIb	Europe	Homo sapiens	Slovenia	Older	B.1	Zakotnik,S., Vlaj,D., Suljic,A., Zorec,T.M., Korva,M., Poljak,M., Avsic Zupanc,T.	ON631241		
Slovenia-MPXV-29-2022	2022-07-01	2022-10-11	IIb	Europe	Homo sapiens	Slovenia	Older	B.1	Zakotnik,S., Vlaj,D., Suljic,A., Zorec,T.M., Korva,M., Poljak,M., Avsic Zupanc,T.	OP605571	1.00	0.50
MPXV/Germany/2022/RKI444	2022-09-01	2022-10-06	IIb	Europe	Homo sapiens	Germany	Older	B.1	Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	OP594208	1.00	1.00
MPXV/Germany/2022/RKI425	2022-09-01	2022-10-06	IIb	Europe	Homo sapiens	Germany	Older	B.1	Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	OP594189	1.00	1.00
Monkeypox/PT0344/2022	2022-05-25	2022-09-12	IIb	Europe	Homo sapiens	Portugal	Older	B.1	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	OP414373		1.00
MPX_96X1Vd_9000218	2022-03-28	2022-09-12	IIb	Europe	Homo sapiens	United Kingdom	Older	B.1	Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.	OP415196		
MPXV/Germany/2022/RKI242	2022-08-01	2022-08-17	IIb	Europe	Homo sapiens	Germany	Older	B.1	Brinkmann,A., Kohl,C., Pape,K., Uddin,S., Schrick,L., Michel,J., Jessen,H., Schaade,L., Nitsche,A.	OP215227	1.00	1.00
MPXV/Germany/2022/ON/RKI447	2022-09-01	2022-10-12	IIb	Europe	Homo sapiens	Germany	Older	B.1	Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	OP615323	1.00	1.00
MpxV/human/CAN/UN-NML-2954/2022	2022-05-22	2022-06-21	IIb	North America	Homo sapiens	Canada	Older	B.1	Knox,N., Duggan,A., Yadav,C., Hole,D., Haidl,E., Chapel,M., Jolly,G., Domselaar,G.V., Antonation,K., Leung,A., Fernando,L., Audet,J., Hagan,M., Graham,M., Griffiths,E., Safronetz,D., Charest,H., Levade,I., Fafard,J.	ON803440		
MPXV/Germany/2022/RKI338	2022-07-01	2022-10-21	IIb	Europe	Homo sapiens	Germany	Older	B.1	Brinkmann,A., Kohl,C., Pape,K., Bourquain,D., Thurmer,A., Michel,J., Schaade,L., Nitsche,A.	OP696841	1.00	1.00
Slovenia-MPXV-25-2022	2022-07-01	2022-10-11	IIb	Europe	Homo sapiens	Slovenia	Older	B.1	Zakotnik,S., Vlaj,D., Suljic,A., Zorec,T.M., Korva,M., Poljak,M., Avsic Zupanc,T.	OP605567	1.00	1.00
MPXV/Germany/2022/RKI041	2022-06-07	2022-06-14	IIb	Europe	Homo sapiens	Germany	Older	B.1	Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	ON755247	0.67	1.00
MPXV-USA-IL-IDPH-014	2022-07-05	2022-09-27	IIb	North America	Homo sapiens	USA	Older	B.1	Gagnon,K.T.	OP536675	1.00	1.00
Slovenia-MPXV-33-2022	2022-07-01	2022-10-11	IIb	Europe	Homo sapiens	Slovenia	Older	B.1	Zakotnik,S., Vlaj,D., Suljic,A., Zorec,T.M., Korva,M., Poljak,M., Avsic Zupanc,T.	OP605575		
MPXV_USA_2022_NY003	2022-05-01	2022-07-11	IIb	North America	Homo sapiens	USA	Older	B.1	Gigante,C.M., Hughes,S., Seabolt,M.H., Zhao,H., Wilkins,K., Respress,J., Howard,D., Batra,D., McCollum,A., Hutson,C., Davidson,W., Rao,A., Baumgartner,J., Li,Y.	ON959134	1.00	1.00
MPXV_UK_2022_4	2022-05-15	2022-05-27	IIb	Europe	Homo sapiens	United Kingdom	Older	B.1	Groves,N., Osman,K.L., Lewandowski,K.S., Pullan,S.T., Carter,D.P., Crook,J.M., Myers,R., Vipond,R., Chand,M.	ON619838	1.00	1.00
RNA_vsay6o	2022-07-13	2022-08-07	IIb	Europe	Homo sapiens	Slovakia	Older	B.1		OX261748		
Slovenia-MPXV-23-2022	2022-07-01	2022-10-11	IIb	Europe	Homo sapiens	Slovenia	Older	B.1	Zakotnik,S., Vlaj,D., Suljic,A., Zorec,T.M., Korva,M., Poljak,M., Avsic Zupanc,T.	OP605565		
MPXV_UK_2022_9000173	2022-05-26	2022-08-11	IIb	Europe	Homo sapiens	United Kingdom	Older	B.1	Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.	OP205124	1.00	1.00
Monkeypox/PT0044/2022	2022-05-30	2022-06-24	IIb	Europe	Homo sapiens	Portugal	Older	B.1	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	ON843182	1.00	1.00
MPXV/Human/USA/UT-UPHL-82200023/2022	2022-05-21	2022-10-31	IIb	North America	Homo sapiens	USA	Older	B.1	Iverson,T., Oakeson,K.F., Young,E.L., Wagner,J., Hergert,J.	OP743358		
MPXV/Germany/2022/RKI05	2022-05-01	2022-06-06	IIb	Europe	Homo sapiens	Germany	Older	B.1	Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Stocker,H., Schaade,L., Nitsche,A.	ON682264		
Monkeypox/PT0340/2022	2022-05-26	2022-09-12	IIb	Europe	Homo sapiens	Portugal	Older	B.1	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	OP414369		
MpxV/human/CAN/UN-NML-3357/2022	2022-06-02	2022-06-30	IIb	North America	Homo sapiens	Canada	Older	B.1	Duggan,A., Hole,D., Knox,N., Yadav,C., Haidl,E., Chapel,M., Domselaar,G.V., Fernando,L., Graham,M., Antonation,K., Audet,J., Hagan,M., Safronetz,D., Leung,A., Peters,G., Go,A., Laminman,V., Kaplen,B., Jolly,G., Charest,H., Levade,I., Fafard,J.	ON880543	1.00	1.00
MpxV/human/USA/WA-UW-089836/2022	2022-08-01	2022-08-26	IIb	North America	Homo sapiens	USA	Older	B.1	Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L.	OP310062		
Monkeypox/PT0032/2022	2022-05-26	2022-06-24	IIb	Europe	Homo sapiens	Portugal	Older	B.1	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	ON843168	1.00	1.00
